nombre,Posicion x,Posicion x,estado
sujeto1,336,467,proximamente
sujeto2,225,-325,vacio
sujeto3,-271,435,vacio
sujeto4,-108,-364,mantenimiento
sujeto5,-88,-206,mantenimiento
sujeto6,102,316,mantenimiento
sujeto7,373,-258,vacio
sujeto8,67,-461,proximamente
sujeto9,-329,345,lleno
sujeto10,-399,-20,proximamente
sujeto11,-349,-88,proximamente
sujeto12,-409,470,mantenimiento
sujeto13,5,-181,vacio
sujeto14,-374,312,vacio
sujeto15,175,456,mantenimiento
sujeto16,-324,-460,proximamente
sujeto17,345,82,lleno
sujeto18,-375,-468,lleno
sujeto19,281,16,mantenimiento
sujeto20,-490,-282,vacio
sujeto21,-227,293,vacio
sujeto22,-477,-137,vacio
sujeto23,54,196,mantenimiento
sujeto24,-109,-453,vacio
sujeto25,25,94,lleno
sujeto26,-242,-472,vacio
sujeto27,5,292,lleno
sujeto28,58,193,lleno
sujeto29,-305,-155,mantenimiento
sujeto30,-173,-88,lleno
sujeto31,279,-309,lleno
sujeto32,-317,-310,mantenimiento
sujeto33,-271,50,proximamente
sujeto34,151,420,proximamente
sujeto35,46,207,mantenimiento
sujeto36,331,160,vacio
sujeto37,340,-473,mantenimiento
sujeto38,164,-284,lleno
sujeto39,-35,-394,proximamente
sujeto40,-498,-355,mantenimiento
sujeto41,24,224,proximamente
sujeto42,-261,401,lleno
sujeto43,446,325,proximamente
sujeto44,122,-479,proximamente
sujeto45,225,-20,mantenimiento
sujeto46,426,470,vacio
sujeto47,-423,325,proximamente
sujeto48,-170,423,lleno
sujeto49,-402,436,proximamente
sujeto50,289,-154,proximamente
sujeto51,-222,312,mantenimiento
sujeto52,338,-279,lleno
sujeto53,52,-12,proximamente
sujeto54,-360,-489,proximamente
sujeto55,376,-489,mantenimiento
sujeto56,225,-376,mantenimiento
sujeto57,-113,-332,proximamente
sujeto58,-105,61,lleno
sujeto59,20,-341,proximamente
sujeto60,8,127,vacio
sujeto61,-246,-38,lleno
sujeto62,231,103,lleno
sujeto63,495,485,mantenimiento
sujeto64,-344,131,proximamente
sujeto65,487,-49,lleno
sujeto66,402,-430,proximamente
sujeto67,476,394,vacio
sujeto68,-299,364,proximamente
sujeto69,-485,438,vacio
sujeto70,-70,-407,vacio
sujeto71,-388,-14,vacio
sujeto72,-248,-4,mantenimiento
sujeto73,-327,-215,mantenimiento
sujeto74,-237,-3,vacio
sujeto75,51,47,vacio
sujeto76,-280,8,vacio
sujeto77,-307,336,vacio
sujeto78,31,-9,proximamente
sujeto79,116,245,mantenimiento
sujeto80,314,259,mantenimiento
sujeto81,103,-476,mantenimiento
sujeto82,500,143,vacio
sujeto83,462,-189,proximamente
sujeto84,136,359,proximamente
sujeto85,419,-116,vacio
sujeto86,-205,370,proximamente
sujeto87,303,-206,vacio
sujeto88,-160,-269,proximamente
sujeto89,-344,308,vacio
sujeto90,-17,59,vacio
sujeto91,-6,205,lleno
sujeto92,70,143,mantenimiento
sujeto93,108,190,lleno
sujeto94,310,257,mantenimiento
sujeto95,-383,-436,lleno
sujeto96,-239,31,proximamente
sujeto97,-493,-97,vacio
sujeto98,200,-8,lleno
sujeto99,-358,-418,lleno
sujeto100,-38,-360,mantenimiento
sujeto101,-274,-177,proximamente
sujeto102,-75,-477,mantenimiento
sujeto103,-131,-171,vacio
sujeto104,-293,5,vacio
sujeto105,198,428,lleno
sujeto106,419,-89,mantenimiento
sujeto107,-312,219,vacio
sujeto108,-425,-422,proximamente
sujeto109,134,-41,mantenimiento
sujeto110,59,-357,proximamente
sujeto111,342,441,vacio
sujeto112,-474,-86,proximamente
sujeto113,-228,-98,lleno
sujeto114,-418,476,mantenimiento
sujeto115,-263,84,mantenimiento
sujeto116,-32,-32,lleno
sujeto117,29,132,vacio
sujeto118,235,160,vacio
sujeto119,-170,-290,proximamente
sujeto120,447,170,lleno
sujeto121,-109,-419,vacio
sujeto122,98,-300,lleno
sujeto123,201,432,proximamente
sujeto124,-55,-195,proximamente
sujeto125,224,182,mantenimiento
